,bathrooms,bedrooms,longitude,latitude,price
5555,1.0,1,-73.9848,40.7635,2975
8514,1.0,4,-73.9887,40.7401,5795
28022,1.0,0,-73.9851,40.7437,3605
37649,2.0,2,-73.9863,40.745,6999
39229,1.0,1,-73.9915,40.7678,3060
4860,1.0,2,-73.9136,40.8427,1695
23588,1.0,1,-73.9632,40.7631,3195
16770,1.0,2,-73.9809,40.7278,2990
27562,1.0,2,-73.9486,40.7968,2975
17272,1.0,0,-74.0162,40.7056,2695
30956,1.0,1,-73.9846,40.7637,2390
32532,1.0,2,-73.979,40.7369,3350
47329,1.0,0,-73.9454,40.7925,1400
2913,1.0,2,-73.9862,40.7514,3300
14455,1.0,3,-74.0016,40.7391,6295
34536,1.0,1,-73.9544,40.7801,1950
32581,1.0,1,-73.986,40.7609,4095
11330,1.0,2,-73.9804,40.7385,2950
39466,1.0,1,-74.0162,40.7056,2550
47196,1.0,0,-73.988,40.7243,1875
16521,1.0,3,-73.9967,40.7443,5789
7844,1.0,3,-73.9423,40.7862,2950
6590,2.0,4,-74.0065,40.7081,4750
23779,1.0,1,-73.9772,40.791,2850
4070,2.0,3,-73.9659,40.7928,5679
15121,1.0,1,-73.97800000000002,40.7351,5850
6184,1.0,2,-73.9826,40.7302,3495
48081,1.0,0,-73.9512,40.7761,1800
13269,1.0,1,-73.9989,40.7611,3270
42812,1.0,2,-73.9512,40.7761,2775
17929,1.0,2,-73.9815,40.7293,3400
37664,1.0,2,-73.9804,40.73,3700
38836,1.0,3,-73.9027,40.8851,2000
17407,1.0,1,-73.9831,40.7178,2300
20924,1.0,1,-73.9174,40.8696,1750
15368,1.0,0,-73.9515,40.7779,2400
6228,1.0,2,-74.0081,40.7074,4595
34104,1.0,2,-73.9498,40.7461,2750
30824,1.0,0,-73.9382,40.8395,1500
11188,1.0,1,-73.8836,40.7536,1900
40394,1.0,3,-73.9958,40.753,5000
1693,1.0,1,-73.9559,40.7667,2600
8701,2.0,2,-73.9863,40.745,5850
32609,2.0,3,-73.9528,40.7796,9226
2580,1.0,1,-73.9805,40.7223,4500
22304,1.0,1,-73.9458,40.7768,2300
4225,1.0,0,-74.0101,40.7067,2595
20464,1.0,1,-73.9217,40.7561,1800
17183,1.0,2,-73.9908,40.7599,2995
21753,1.0,2,-73.9439,40.8331,2150
32110,1.0,3,-73.9838,40.7243,3400
34648,1.0,2,-73.919,40.6935,1900
43439,1.0,0,-73.9738,40.7464,2225
8477,2.0,4,-73.9847,40.7263,4100
34506,1.0,2,-73.9806,40.7221,3200
26318,2.0,2,-73.9517,40.7662,8000
15561,1.0,1,-73.9538,40.7768,2200
46508,1.0,1,-73.9954,40.7223,3490
41956,1.0,0,-73.9544,40.7724,1800
45055,1.0,0,-73.9625,40.7575,2650
17017,1.0,1,-73.9846,40.7637,3495
11604,2.0,1,-73.9914,40.7032,5499
10487,1.0,0,-73.9472,40.7721,2595
22925,1.0,0,-73.9811,40.7398,3850
24139,1.0,1,-73.9941,40.7231,3295
45466,2.0,4,-73.9831,40.7228,7495
22818,1.0,2,-73.9888,40.7237,3900
5954,1.0,1,-74.0028,40.7257,2750
27136,1.0,0,-74.0076,40.7047,3107
27062,1.0,2,-73.9951,40.7606,2595
15480,1.0,0,-73.9787,40.7269,2250
35111,1.0,0,-74.0149,40.708,2775
6248,1.0,2,-73.9188,40.6749,1900
6426,1.0,0,-73.971,40.7863,2265
40825,1.0,2,-73.9961,40.7373,3695
6923,1.0,3,-73.9963,40.7226,4975
28172,2.0,2,-74.0122,40.7074,5400
30380,1.0,0,-74.0176,40.7113,3000
29384,1.0,3,-73.9942,40.7252,6000
2241,1.0,2,-73.9413,40.7515,2995
24487,1.0,0,-73.9881,40.7243,1950
17165,1.0,2,-73.9484,40.7104,3065
1787,1.0,0,-73.9971,40.7439,2700
31167,2.0,2,-73.9425,40.7875,3495
26343,2.5,3,-73.9803,40.7853,9495
28446,1.0,0,-73.9743,40.7439,2720
46806,1.0,1,-73.9929,40.7597,2100
33666,3.0,3,-73.9534,40.7726,12000
32152,1.0,2,-73.9469,40.7826,3300
22656,1.0,3,-73.9498,40.8256,2300
45072,1.0,1,-73.9355,40.7165,2995
15878,1.0,0,-73.9523,40.7737,2000
9837,1.0,2,-73.9801,40.6682,3000
28564,1.0,0,-74.0106,40.7236,3195
48169,1.0,0,-73.9515,40.7711,2150
35592,1.0,0,-73.9927,40.7301,3195
26307,2.0,2,-73.9734,40.7897,8006
10722,1.0,2,-73.9436,40.7741,4290
45066,1.0,0,-74.0104,40.7239,3595
33525,1.0,1,-73.9982,40.7568,3133
24893,1.0,1,-74.0003,40.7301,2590
46182,1.0,1,-73.9556,40.733,2950
48651,1.0,2,-73.969,40.7517,3195
1839,1.0,1,-74.0026,40.7383,3500
1779,1.0,1,-73.9585,40.7722,2600
37991,2.0,3,-73.9915,40.7678,5200
45746,2.0,2,-73.9786,40.7291,3695
44102,1.0,1,-73.9516,40.7801,2300
1656,1.0,0,-73.9565,40.7465,2240
40454,1.0,0,-73.977,40.7488,3100
37508,1.0,1,-73.9832,40.7645,2500
5199,1.0,0,-74.0165,40.7109,2795
1037,1.0,0,-73.9476,40.7797,1800
32185,1.5,4,-73.9436,40.8374,3595
44103,1.0,0,-73.9964,40.7441,2400
44603,1.0,1,-73.9772,40.7412,3150
49241,1.0,0,-73.9956,40.7621,3200
7618,1.0,0,-73.99,40.7746,3200
2554,2.0,2,-73.9703,40.786,7000
37335,2.5,2,-74.0019,40.7321,4500
3609,2.0,3,-73.9913,40.7606,5195
23854,1.0,2,-73.9962,40.7593,3200
14672,1.0,0,-73.9829,40.7253,1995
1123,1.0,1,-74.0047,40.7332,2495
25988,1.0,2,-73.9452,40.7075,2999
42743,1.0,0,-73.9848,40.7635,2695
1610,1.0,1,-73.9765,40.7339,3580
21854,1.0,0,-73.987,40.7678,1800
43705,1.0,3,-73.9117,40.689,3400
46265,1.0,0,-74.0107,40.7073,2500
18044,1.0,1,-73.976,40.7803,3990
27451,1.0,3,-74.0079,40.7063,4400
6664,1.0,0,-73.9516,40.7751,1800
32803,1.0,3,-73.9905,40.7644,4495
48767,1.0,2,-73.9942,40.7301,3400
10807,2.0,3,-73.9726,40.7518,6683
44608,1.0,2,-73.9481,40.7751,2475
37767,1.0,1,-73.9833,40.7756,3475
14025,1.0,2,-73.9975,40.7176,2750
5265,1.0,1,-73.9875,40.7283,3650
20338,3.0,3,-73.9603,40.7695,6750
8067,2.0,4,-74.0028,40.7429,7800
3474,3.0,2,-73.9746,40.7479,11500
216,1.0,0,-73.9758,40.7928,2300
48486,2.0,3,-73.9565,40.7802,11000
37252,2.0,3,-73.976,40.7376,4450
8778,1.0,1,-73.9916,40.7272,4796
24472,1.0,0,-73.9596,40.7692,2500
45254,1.0,1,-73.9677,40.711,4325
12042,2.0,2,-73.9894,40.7735,5475
40576,1.0,3,-73.9712,40.7594,4350
35984,1.0,3,-74.0044,40.7231,3900
45138,1.0,2,-73.9392,40.8021,2275
37554,1.0,1,-73.9445,40.8333,1700
10610,1.0,1,-73.9506,40.7758,3650
26839,1.0,1,-73.9592,40.8157,2350
2436,2.0,2,-73.9416,40.7471,4175
3953,1.0,1,-74.0008,40.7478,3745
43383,1.0,2,-73.9416,40.8241,1850
37219,1.0,2,-73.9779,40.7466,3500
35095,1.0,1,-73.979,40.7216,1878
3918,1.0,1,-74.0033,40.6816,2500
15545,2.0,2,-74.0046,40.7073,4790
46127,2.0,4,-73.9408,40.8168,3750
35779,2.0,1,-73.9897,40.7035,4140
2939,1.0,0,-73.9965,40.7382,3995
48328,1.0,1,-73.9724,40.7976,2495
14587,2.0,2,-73.9799,40.7271,3200
22562,1.0,3,-74.0044,40.7231,3625
52,1.0,0,-73.9573,40.7817,3500
13406,1.0,0,-73.9901,40.7239,2383
32496,1.0,2,-73.9398,40.7518,2500
18966,2.0,2,-73.984,40.747,6595
42817,1.0,1,-73.9808,40.776,2750
31815,1.0,1,-73.8763,40.7122,1400
47443,1.0,0,-73.9563,40.7681,2650
13465,3.0,3,-73.9464,40.7449,5495
33740,1.0,1,-73.9839,40.7283,2500
19248,0.0,2,-73.9809,40.7278,2990
6375,1.0,2,-73.984,40.7645,3400
36344,1.0,0,-74.0065,40.7081,2500
38457,1.0,0,-73.9597,40.7642,2000
39755,2.0,2,-73.9827,40.6962,3700
16399,1.0,4,-73.9573,40.716,4200
14411,1.0,2,-73.9185,40.6996,2400
26847,1.0,1,-73.9567,40.7696,2800
10396,2.0,2,-73.9469,40.7826,3600
9366,1.0,1,-74.0179,40.7098,3725
44951,1.0,0,-73.9865,40.7348,3300
33826,1.0,0,-73.988,40.7265,1895
2926,1.0,1,-74.0032,40.7462,4250
4193,1.0,1,-73.9541,40.6711,2200
6494,2.0,4,-73.9545,40.8034,5000
25458,1.0,2,-73.8575,40.907,1850
6337,1.5,2,-73.9204,40.6809,1850
38591,2.0,4,-73.9779,40.7413,6400
6907,0.0,2,-73.9622,40.7752,17500
3632,1.0,2,-73.9875,40.7743,2700
38119,2.0,4,-73.9864,40.7399,6000
28599,2.0,4,-73.9725,40.7436,6300
3174,1.0,0,-73.9982,40.7568,3040
24507,1.0,2,-73.994,40.765,2200
13535,1.0,1,-73.982,40.7496,3400
13468,1.0,1,-73.9828,40.7192,2560
5153,2.0,3,-73.9095,40.8803,3200
8073,1.0,2,-73.9695,40.753,3300
11209,1.0,1,-73.9552,40.7184,4062
24102,1.0,1,-73.9922,40.7248,4890
44815,1.0,2,-74.0034,40.7337,4525
19703,1.0,1,-73.9825,40.7208,3420
18396,1.0,1,-73.9601,40.7676,3295
41750,1.0,2,-73.9188,40.6998,2300
8710,1.0,3,-73.9864,40.7399,5150
44714,1.0,1,-73.9532,40.7777,2800
10426,1.0,1,-73.9576,40.7708,2450
17879,1.0,1,-73.9564,40.7772,2600
21246,3.0,4,-73.9827,40.7797,11000
9855,1.0,2,-73.9523,40.7982,2750
36117,1.0,3,-73.9929,40.7714,5600
41744,1.0,1,-73.9978,40.7612,3200
28081,1.0,2,-73.9689,40.7521,3400
46721,1.0,1,-73.9496,40.7709,1950
16367,2.0,2,-73.9809,40.7413,3750
30047,1.0,0,-73.9616,40.7677,3195
42513,1.0,1,-73.9757,40.7336,3662
17222,1.0,2,-73.953,40.8195,2100
24433,1.0,2,-73.8506,40.7275,2200
43158,1.0,1,-73.9946,40.7233,3695
16028,1.0,1,-74.0008,40.7478,3795
19602,1.0,2,-74.0072,40.7067,2600
20184,1.0,1,-73.8655,40.8552,1450
43310,1.0,3,-74.0083,40.7046,3900
44043,1.0,1,-73.9875,40.7494,3700
4944,1.0,2,-73.9522,40.7707,3200
1573,2.0,3,-73.9929,40.7389,4950
35608,2.0,2,-73.9695,40.7518,4895
37039,1.0,0,-73.9911,40.7634,2000
25399,1.0,1,-73.9799,40.6777,2550
21175,1.0,2,-74.0296,40.6231,2200
18461,1.0,0,-73.968,40.7976,2300
15233,1.0,2,-73.9539,40.8002,2650
32318,1.0,1,-73.962,40.7668,3200
38606,1.0,0,-73.8886,40.7026,1349
15371,1.0,0,-73.9885,40.7248,2350
32587,1.0,1,-73.9683,40.6098,1600
40773,2.0,2,-73.96300000000002,40.7561,6000
1127,1.0,1,-73.9829,40.6941,2800
34004,1.0,2,-73.95100000000002,40.7085,3554
31604,1.0,2,-73.9765,40.7489,3498
28669,1.0,2,-73.9959,40.753,2999
36360,1.0,0,-73.984,40.7645,2785
9997,2.0,2,-74.0106,40.7236,5695
18690,1.0,1,-73.9514,40.7792,2400
33327,1.0,3,-74.0065,40.7079,3950
8651,2.0,2,-74.0162,40.7166,8250
31593,1.0,3,-73.9092,40.6945,2500
38775,1.0,3,-73.9897,40.7652,4295
26506,1.0,0,-73.9214,40.7685,1950
22944,1.0,1,-73.9563,40.778,2700
10545,1.0,2,-73.982,40.7418,3200
45854,1.0,1,-73.9783,40.6835,2200
1979,1.0,1,-74.0143,40.71,2380
10080,1.0,2,-73.9743,40.7438,3150
40313,2.0,1,-73.9897,40.7035,4130
33677,1.0,2,-73.9497,40.7618,2495
20288,1.0,2,-74.0075,40.7074,3400
29804,0.0,0,-74.0089,40.7328,2900
31396,1.0,2,-74.0046,40.7073,5600
410,3.0,4,-73.9705,40.7957,6100
15503,1.0,0,-73.9482,40.7832,1850
48116,1.0,0,-74.0035,40.7368,1950
32248,2.0,5,-73.9574,40.8033,1025
48522,1.0,1,-73.987,40.7674,2100
30755,1.0,3,-73.9905,40.7643,4295
47240,1.0,0,-73.9857,40.7283,2300
45770,1.0,0,-73.8925,40.7442,1700
16603,1.0,3,-73.9568,40.7184,4500
581,1.0,1,-73.967,40.7072,2100
21461,1.0,0,-73.9974,40.7198,2050
44324,2.0,2,-73.9858,40.7284,3995
47490,1.0,1,-73.9883,40.7322,3400
24978,1.0,1,-73.9639,40.7619,3595
38776,1.0,0,-73.9464,40.7805,2538
11971,1.0,3,-73.9601,40.8138,2995
7495,1.0,0,-73.9689,40.7602,2800
24273,0.0,2,-73.9486,40.7813,2950
15388,1.0,0,-73.9797,40.7363,2050
30978,1.0,1,-73.9919,40.7379,3295
27327,1.0,0,-73.9809,40.7792,2375
32636,1.0,1,-73.9761,40.7937,2660
5872,1.0,1,-73.9757,40.7461,3500
28915,3.0,3,-73.9557,40.7761,9500
29235,2.0,4,-73.98899999999998,40.7293,7450
21349,1.0,0,-74.0089,40.7045,2879
29868,1.0,1,-73.9516,40.7858,2000
3512,1.0,3,-73.9515,40.7354,3200
5441,1.0,2,-73.9517,40.77,2595
27937,2.0,2,-73.9846,40.7756,6370
23120,3.0,4,-73.9259,40.7011,5000
5706,1.0,2,-73.9741,40.7447,3295
19953,1.0,0,-73.9974,40.7198,2050
8378,1.0,1,-74.0056,40.7347,3800
10793,2.0,3,-73.9609,40.6883,4695
45934,1.0,2,-73.938,40.7978,2000
9984,1.0,0,-73.9875,40.7743,2100
43063,1.0,1,-73.9727,40.7957,2750
41809,1.0,1,-74.0042,40.7373,4095
634,1.0,1,-73.952,40.841,1700
47360,1.0,3,-73.9614,40.7959,4095
4805,1.0,1,-74.0149,40.708,2460
19801,1.0,1,-73.94,40.7515,2700
19188,2.0,4,-73.9832,40.7319,4700
37681,1.0,0,-73.9875,40.7494,2400
39022,1.0,2,-73.9892,40.7282,2400
3957,2.0,3,-73.9636,40.755,4090
714,2.0,2,-73.9456,40.8206,3500
21543,1.0,1,-73.9588,40.6421,1600
42413,1.0,3,-73.9553,40.6774,2800
42422,1.0,0,-73.9518,40.7717,2200
4127,1.0,1,-73.945,40.6877,2795
24559,1.0,0,-73.9512,40.7761,1850
2642,1.0,3,-74.0098,40.7043,4013
47832,1.0,0,-73.9846,40.7756,2676
31722,1.0,0,-73.9739,40.7479,2400
6415,1.0,1,-73.9504,40.7802,2075
196,1.0,1,-73.9781,40.7658,3775
18520,1.0,1,-73.9803,40.7465,3500
23997,2.0,2,-73.9198,40.7713,3400
26807,1.0,0,-73.9878,40.7317,2099
41500,2.0,3,-73.9529,40.781,4200
2769,1.0,1,-73.9546,40.7818,2600
16155,1.0,1,-73.9592,40.7727,2695
8717,0.0,1,-73.9539,40.768,2150
32537,1.0,3,-73.9416,40.8368,2995
28461,1.0,1,-73.9897,40.7201,5200
19626,2.0,3,-73.9776,40.736,7083
48899,1.0,2,-74.0013,40.6853,3000
32551,1.0,1,-73.9547,40.7688,2900
